優先級,分類,品項,規格/尺寸限制,候選商品/連結,預估價格,數量,購買通路,狀態,備註
P2,多功能間,玻璃行訂製整塊舞蹈鏡（貼牆）,建議約寬240×高180cm（≈47才）；5mm明鏡＋防爆膜；貼避開窗的長邊牆,,8000-12000,1,玻璃行,待報價,明鏡約150-200/才另計出車安裝；需確認單片最大尺寸與樓梯搬運；詳09-多功能間規劃.md
P2,多功能間,可調式啞鈴一對,2-24kg或10-40kg可調；免啞鈴架省空間,,3000-8000,1,momo,待決定,若已有啞鈴可略過；下方需鋪緩衝墊
P2,多功能間,可調式健身椅,可平躺/上斜；收折款不用時可立起,,2000-4000,1,momo,待決定,若已有可略過
P2,多功能間,重訓緩衝地墊,EVA拼接墊厚≥2cm；鋪啞鈴區約1.5-2坪,,1000-2000,1,momo,未購買,保護木地板（勘查紀錄要求）
P3,多功能間,瑜珈墊,TPE厚6-8mm,,500-1500,1,momo,待決定,若已有可略過
P3,多功能間,電子鋼琴88鍵,候選Yamaha P-145約14000-16000／Roland FP-10主機17400,,14000-20000,1,樂器行/momo,暫緩,2026-08-13決定先不買；含琴架琴椅一併暫緩
P3,多功能間,吉他立架或壁掛架,立架約300-500；壁掛要鑽牆,,300-500,1,,未購買,
P3,多功能間,延長線（過載保護）,樂器角供電鋼琴；先確認插座位置再買,,500-800,1,,待確認,多功能間插座位置待現場確認
P3,多功能間,收納層架,放瑜珈墊/彈力帶等小物,,1000-2000,1,,待決定,可考慮舊宿舍層架挪用（原定書房）
P2,前陽台,塑木地板拼接 30×30cm,前陽台125×380≈4.75m²；約53片＋損耗買60片,,2000-5000,60,,未購買,卡扣式DIY；架高留排水縫；不可蓋排水孔；詳11-前陽台規劃.md
P2,前陽台,防水貓跳台,戶外防水材質（塑膠/PE藤編）,,1500-4000,1,,未購買,避免布面/劍麻怕潮發霉
P3,前陽台,盆栽植物＋花架,限貓咪無毒植物（貓草/貓薄荷/迷迭香/吊蘭等）,,800-2500,1,,未購買,避免百合/黃金葛/萬年青等貓毒植物
P3,前陽台,貓草種植組,小麥草/貓薄荷；可多盆輪種,,100-300,1,,未購買,
P2,前陽台,陽台防墜網/隱形鐵窗,貓咪上陽台安全防護,,3000-10000,1,,待確認,先問饅頭能否安裝；建議裝好再放貓跳台
